data_id,type,record_id,opentimestamps,numbers,avalanche,iscn,ipfs,filecoin,storj
,Web Archive,bafybeihqitr4uyft4cxyw74vzk5tnptosohkl7h64i2ekeszhjcuflofcq,https://www.blockchain.com/explorer/blocks/btc/767815,https://mainnet.num.network/tx/0x1b0443e01e50a643f09f2675353923d9a72aa4497c62951debd17e3190f29564,https://snowtrace.io/tx/0xa2bd3613e0e013b9a2a8fac0cd9083f3d9805bc67823017deb5928a015a8d66a,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FE6yTUH3BokkS4-U2F88g9ZyKIM9uWOh_cZwgTfgyIY0%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Redaction: Zero Knowledge Proof,bafybeifmc67kmvosbcnqp4x5o347xou23lhi4wux2gfhvzj3225gsvietq,https://www.blockchain.com/explorer/blocks/btc/767815,https://mainnet.num.network/tx/0x1b0443e01e50a643f09f2675353923d9a72aa4497c62951debd17e3190f29564,https://snowtrace.io/tx/0xa2bd3613e0e013b9a2a8fac0cd9083f3d9805bc67823017deb5928a015a8d66a,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FE6yTUH3BokkS4-U2F88g9ZyKIM9uWOh_cZwgTfgyIY0%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Caption,bafkreideq6cwo6oz635ghruzfnzc6wqek5mswq6utuzur6zz7thgimfyyy,https://www.blockchain.com/explorer/blocks/btc/767815,https://mainnet.num.network/tx/0x1b0443e01e50a643f09f2675353923d9a72aa4497c62951debd17e3190f29564,https://snowtrace.io/tx/0xa2bd3613e0e013b9a2a8fac0cd9083f3d9805bc67823017deb5928a015a8d66a,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FE6yTUH3BokkS4-U2F88g9ZyKIM9uWOh_cZwgTfgyIY0%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
C049-1310,Primary,bafybeiannjfdko24sro4njwgalnxzmuckfmbcqpxicrjl5cqgxzv56moum,https://www.blockchain.com/explorer/blocks/btc/767817,https://mainnet.num.network/tx/0x1a77610b3f17173428afdcc9ca03e7dfaabd7bfc757b54e68777d865ca704db0,https://snowtrace.io/tx/0xe30f02b81894faeb0dd6057478256ef33a06996d3eb61d1b4600c00e03e669ea,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2F9z9fJcuCqWYMBZC23JPDFAC0S77rWeYgPJVlwzjgbxA%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Web Archive,bafybeihqitr4uyft4cxyw74vzk5tnptosohkl7h64i2ekeszhjcuflofcq,https://www.blockchain.com/explorer/blocks/btc/767817,https://mainnet.num.network/tx/0x1a77610b3f17173428afdcc9ca03e7dfaabd7bfc757b54e68777d865ca704db0,https://snowtrace.io/tx/0xe30f02b81894faeb0dd6057478256ef33a06996d3eb61d1b4600c00e03e669ea,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2F9z9fJcuCqWYMBZC23JPDFAC0S77rWeYgPJVlwzjgbxA%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Redaction: Zero Knowledge Proof,bafybeihij4lyjluoxcqndnfzx5dw6jch4nxeqnvw45qzkg27kbw5plngoa,https://www.blockchain.com/explorer/blocks/btc/767817,https://mainnet.num.network/tx/0x1a77610b3f17173428afdcc9ca03e7dfaabd7bfc757b54e68777d865ca704db0,https://snowtrace.io/tx/0xe30f02b81894faeb0dd6057478256ef33a06996d3eb61d1b4600c00e03e669ea,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2F9z9fJcuCqWYMBZC23JPDFAC0S77rWeYgPJVlwzjgbxA%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Caption,bafkreidhiy4zy7b63yc2kd53sqxmd2fjok7gjlt2paumuzy4z4x25ddvni,https://www.blockchain.com/explorer/blocks/btc/767817,https://mainnet.num.network/tx/0x1a77610b3f17173428afdcc9ca03e7dfaabd7bfc757b54e68777d865ca704db0,https://snowtrace.io/tx/0xe30f02b81894faeb0dd6057478256ef33a06996d3eb61d1b4600c00e03e669ea,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2F9z9fJcuCqWYMBZC23JPDFAC0S77rWeYgPJVlwzjgbxA%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
C049-1296,Primary,bafkreidy6ojwxr2z3iepagb5kaoaarwpwksqh2zkk2qn7u2xo5ir6llzny,https://www.blockchain.com/explorer/blocks/btc/767815,https://mainnet.num.network/tx/0xce5f129595baa56dfe5626bbcdce7b3a3030ac8c8038765f05c621eb0ff261f8,https://snowtrace.io/tx/0xc809056645c6ea4d985d7ffc34dd8a55b3a6761f2659279f9309bc0a2965b114,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FYMmD5rF1yxOLiDwqT6akcwglReujdCTc7SgKYHvzSxg%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Web Archive,bafybeihqitr4uyft4cxyw74vzk5tnptosohkl7h64i2ekeszhjcuflofcq,https://www.blockchain.com/explorer/blocks/btc/767815,https://mainnet.num.network/tx/0xce5f129595baa56dfe5626bbcdce7b3a3030ac8c8038765f05c621eb0ff261f8,https://snowtrace.io/tx/0xc809056645c6ea4d985d7ffc34dd8a55b3a6761f2659279f9309bc0a2965b114,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FYMmD5rF1yxOLiDwqT6akcwglReujdCTc7SgKYHvzSxg%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Redaction: Zero Knowledge Proof,bafybeic563ncbxeerzhnaycg36mkrupxzz7u5gzchzam4cv2v2hgn6omge,https://www.blockchain.com/explorer/blocks/btc/767815,https://mainnet.num.network/tx/0xce5f129595baa56dfe5626bbcdce7b3a3030ac8c8038765f05c621eb0ff261f8,https://snowtrace.io/tx/0xc809056645c6ea4d985d7ffc34dd8a55b3a6761f2659279f9309bc0a2965b114,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FYMmD5rF1yxOLiDwqT6akcwglReujdCTc7SgKYHvzSxg%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
